SplitName,TrainFraction,TrainingSamples,TestSamples,ScoreThreshold,InstanceIoUThreshold,MeanDice,MeanJaccard,InstancePrecision,InstanceRecall,InstanceF1,GroundTruthCount,PredictedCount,AbsCountError,PercentCountError
train_25_percent,0.25,246,202,0.2,0.5,0.902506461167414,0.83257154182839,0.805332905845891,0.836441336441336,0.820592398998149,18018,18714,696,3.86280386280386
train_50_percent,0.5,443,202,0.2,0.5,0.912717797721098,0.845964137876162,0.848347015753273,0.848817848817849,0.848582366975531,18018,18028,10,0.0555000555000555
train_100_percent,1,882,202,0.2,0.5,0.916802929788765,0.852457845424603,0.838018669400529,0.861971361971362,0.849826270143088,18018,18533,515,2.85825285825286
