SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
1,0.943691712123878,0.893386640013327,37,46,37,9,0
2,0.942535925653838,0.891317207382781,69,74,65,9,4
3,0.944135649778347,0.894182713508746,168,158,150,8,18
4,0.910851306033289,0.836296559945312,164,173,138,35,26
5,0.92249855722639,0.856146006497936,175,153,140,13,35
6,0.792345049114748,0.656102182609306,59,83,53,30,6
7,0.939783921194789,0.886407912483141,97,96,82,14,15
8,0.954190371171878,0.912393943284968,55,66,50,16,5
9,0.898136840457179,0.815107422985109,157,144,122,22,35
10,0.930606269523104,0.870218557488738,125,128,113,15,12
11,0.744302879022686,0.592740770515896,30,68,27,41,3
12,0.95508120812432,0.914024339068401,71,71,65,6,6
13,0.969600910902363,0.940995504714083,57,59,53,6,4
14,0.93594854517611,0.879608350642233,77,80,66,14,11
15,0.969666005899223,0.941118133975088,58,58,56,2,2
16,0.868102616701466,0.766944627234382,164,120,100,20,64
17,0.943280975084079,0.892650697908209,74,82,65,17,9
18,0.969165867246102,0.94017634501193,49,54,42,12,7
19,0.860279802027661,0.754816667773523,30,39,27,12,3
20,0.879059138861208,0.784215447341396,104,129,94,35,10
21,0.939788791078923,0.886416577349053,54,65,45,20,9
22,0.804138960794301,0.672435119492158,7,12,6,6,1
23,0.815567672361565,0.688572621103373,85,111,69,42,16
24,0.88947279676259,0.800946428119544,150,154,126,28,24
25,0.953653185349387,0.91141213601135,67,74,56,18,11
26,0.94106756828561,0.888694632538584,90,107,88,19,2
27,0.897258223665976,0.813661224161506,88,88,80,8,8
28,0.948375190466651,0.901818958500499,80,88,72,16,8
29,0.963763588980869,0.930061498256961,46,43,42,1,4
30,0.95360052439367,0.911315942547765,77,81,71,10,6
31,0.907833752820125,0.831223044261144,57,70,53,17,4
32,0.839002048297627,0.722655924644309,78,81,71,10,7
33,0.939649047373099,0.886167966412652,121,117,111,6,10
34,0.651836176687811,0.48349923460071,84,158,70,88,14
35,0.884350624122095,0.792677917671221,94,85,71,14,23
36,0.938278441683186,0.883733060079022,128,129,119,10,9
37,0.754153259816938,0.605333895007121,16,29,16,13,0
38,0.962482261852402,0.927677885845918,43,54,40,14,3
39,0.779503957184867,0.638677988162013,38,44,30,14,8
40,0.967927850507447,0.937849016644191,49,52,46,6,3
41,0.890833032178894,0.803155032581689,26,42,26,16,0
42,0.932569670324605,0.873658583982899,137,127,115,12,22
43,0.975168179561572,0.95153971618913,46,45,41,4,5
44,0.949801085928287,0.904401131254103,68,79,62,17,6
45,0.961576623235022,0.925996703031321,100,98,90,8,10
46,0.86729723784684,0.765688287188592,25,37,19,18,6
47,0.907495410345827,0.830655924871758,84,78,68,10,16
48,0.921209165707416,0.853927505151171,57,72,54,18,3
49,0.942142470802156,0.89061375922386,139,139,130,9,9
50,0.951796674255435,0.908026764348749,87,91,75,16,12
51,0.672427209976857,0.506508731596657,9,36,9,27,0
52,0.797133792801663,0.662695308947378,19,28,17,11,2
53,0.709216627109801,0.549446670917206,217,159,107,52,110
54,0.96021152367211,0.923468133695026,92,97,90,7,2
55,0.972642177082641,0.946741393685656,60,58,56,2,4
56,0.930436385662743,0.86992150180733,135,121,110,11,25
57,0.974412132080459,0.950101071356378,66,66,63,3,3
58,0.649576222475362,0.48101657663793,46,71,38,33,8
59,0.949341598928846,0.903568274865537,35,36,32,4,3
60,0.92571431577729,0.861702179757783,102,105,84,21,18
61,0.936346006725141,0.880310714429086,102,101,93,8,9
62,0.970765138567538,0.943191078095094,82,79,77,2,5
63,0.903612723696205,0.824172938911255,136,135,106,29,30
64,0.912243178784762,0.83864624977999,92,103,75,28,17
65,0.944941242821429,0.895629021978248,113,113,105,8,8
66,0.880237323383693,0.786092751406566,74,96,65,31,9
67,0.967969668016156,0.937927537609728,52,54,46,8,6
68,0.94977109856512,0.904346754567019,100,101,94,7,6
69,0.815338380964885,0.688245797672557,40,51,35,16,5
70,0.926297417997023,0.862713225732426,133,118,108,10,25
71,0.927922720207587,0.865537156414005,59,77,54,23,5
72,0.905285286980078,0.826960007217518,108,109,85,24,23
73,0.971942634230669,0.945416731198973,11,12,11,1,0
74,0.833499428666837,0.714529807485866,93,120,54,66,39
75,0.848690335681663,0.737152099026419,233,172,129,43,104
76,0.958302684305868,0.919943509374704,87,92,82,10,5
77,0.917287553838763,0.847212532829941,198,183,159,24,39
78,0.945565541800916,0.896751366999035,79,80,69,11,10
79,0.960548922380983,0.924092478292708,63,70,60,10,3
80,0.946607937429623,0.898628318045049,100,95,89,6,11
81,0.907966628687323,0.831445862863974,138,140,109,31,29
82,0.921792747124196,0.854930946407179,78,85,67,18,11
83,0.929480381760339,0.868251609707776,111,106,94,12,17
84,0.955695502147823,0.915150230716618,72,69,64,5,8
85,0.95974917296203,0.92261322751825,81,81,70,11,11
86,0.929071258170518,0.867537887332609,165,158,143,15,22
87,0.894222975736349,0.808682904523019,89,85,71,14,18
88,0.943956888936903,0.893862077265616,23,26,22,4,1
89,0.928182079652918,0.865988580739859,105,98,86,12,19
90,0.90102175310175,0.819872236456717,61,70,56,14,5
91,0.954027102411572,0.912095432502271,80,89,77,12,3
92,0.958987544365326,0.921206599570088,81,74,68,6,13
93,0.724990989825434,0.56861636587664,37,71,34,37,3
94,0.897347560432513,0.813808166773291,131,127,105,22,26
