SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
1,0.819185661590845,0.693746370572098,70,53,35,18,35
2,0.959207403832449,0.921612439754549,82,76,67,9,15
3,0.955454876941446,0.914709049757237,113,101,99,2,14
4,0.973750825129868,0.948844441461396,45,47,42,5,3
5,0.968254005605141,0.938461608637543,49,60,45,15,4
6,0.832448620705132,0.712986713448004,258,180,133,47,125
7,0.977015650731865,0.955064123347383,55,57,55,2,0
8,0.972828662236348,0.947094828750169,60,59,55,4,5
9,0.86691597008359,0.765094156474471,48,39,34,5,14
10,0.922054150802783,0.855380770276603,72,68,58,10,14
11,0.945418890946726,0.896487603305785,114,101,91,10,23
12,0.880798189890811,0.786987817509767,140,149,105,44,35
13,0.955524108206515,0.914835962911283,166,154,149,5,17
14,0.945904513801914,0.897361317060188,63,70,59,11,4
15,0.776252518468771,0.634324098871669,51,68,45,23,6
16,0.936884743867041,0.881263568048984,108,115,96,19,12
17,0.947849327873817,0.900868433566084,168,156,146,10,22
18,0.925560547592069,0.861435742626344,166,165,131,34,35
19,0.861996311521858,0.757463548008891,54,58,46,12,8
20,0.858960820222166,0.752788191190253,178,145,103,42,75
21,0.950773671938873,0.906166426166426,100,104,96,8,4
22,0.899012218019538,0.816550585513665,72,75,61,14,11
23,0.970802515560764,0.943261648263464,58,59,56,3,2
24,0.844756466241182,0.73123669733307,25,52,25,27,0
25,0.874501835397725,0.77699090314088,157,181,131,50,26
26,0.883504047949188,0.791318630691265,14,26,13,13,1
27,0.969815249740893,0.941399345599874,58,57,52,5,6
28,0.842029070182614,0.727159074982481,44,64,42,22,2
29,0.902913020931936,0.823009513520002,239,205,176,29,63
30,0.63265275789119,0.462686242680735,17,53,17,36,0
31,0.903325996152313,0.823696005360744,152,137,120,17,32
32,0.815089391711111,0.687891040901532,13,35,13,22,0
33,0.908196434460155,0.831831350551686,85,91,71,20,14
34,0.864876964752064,0.761923542995633,177,181,152,29,25
35,0.958266619435589,0.91987704081864,55,60,53,7,2
36,0.871294600037276,0.771941553629539,50,65,46,19,4
37,0.960867148705879,0.924681716595937,41,49,39,10,2
38,0.974261296254725,0.949814307188965,52,50,46,4,6
39,0.815667449395119,0.688714879092472,26,50,24,26,2
40,0.90940277068941,0.833857583944423,86,97,71,26,15
41,0.964521866244366,0.931474876003501,65,67,57,10,8
42,0.959939523594026,0.9229651019056,99,88,87,1,12
43,0.797247330683726,0.662852264661308,51,93,49,44,2
44,0.869973669474462,0.769870264058241,42,69,38,31,4
45,0.844043091561993,0.730168300739265,28,35,23,12,5
46,0.969979847637722,0.941709582490344,81,76,73,3,8
47,0.923601937472479,0.858048680711802,151,134,121,13,30
48,0.940899602666086,0.888395099307511,71,79,67,12,4
49,0.961413875429242,0.925694896825806,89,89,81,8,8
50,0.884949654168497,0.79364098444235,90,111,80,31,10
51,0.940772953981475,0.888169309420202,57,71,49,22,8
52,0.793751743375174,0.658033484414023,62,78,52,26,10
53,0.971466423929991,0.944516004661637,41,43,38,5,3
54,0.953692515292425,0.911483984613725,75,67,66,1,9
55,0.829693337396585,0.708953784430214,102,104,58,46,44
56,0.958717445733007,0.920708257143415,57,61,53,8,4
57,0.974556137494934,0.950374928486267,56,54,51,3,5
58,0.964171913368324,0.930822330280342,48,57,44,13,4
59,0.960826612408992,0.924606638201505,71,74,59,15,12
60,0.929456866075938,0.868210571459204,73,88,64,24,9
61,0.897440034419705,0.813960294619775,41,50,40,10,1
62,0.930433322136379,0.869916145849691,103,105,95,10,8
63,0.924224541535477,0.859124024686939,136,147,117,30,19
64,0.969048703862292,0.939955851932751,68,69,64,5,4
65,0.96667850612363,0.935506047103756,55,55,49,6,6
66,0.93862167350605,0.884342227532192,115,109,102,7,13
67,0.965247211426234,0.932828809049807,85,81,76,5,9
68,0.937003675221271,0.88147404970221,73,89,68,21,5
69,0.894185077513216,0.808620917777407,83,94,72,22,11
70,0.895112394810766,0.810138868973428,130,136,115,21,15
71,0.974864882166275,0.95096233189857,55,58,53,5,2
72,0.799826224423916,0.666425346646154,104,120,87,33,17
73,0.936448067485907,0.88049115314216,141,132,119,13,22
74,0.964124496280223,0.930733947098952,68,67,63,4,5
75,0.76880049010841,0.62443209563664,57,98,54,44,3
76,0.950489164561573,0.905649691710436,81,84,71,13,10
77,0.913739534786734,0.841179039510877,162,155,135,20,27
78,0.946479003523743,0.898395956691379,136,133,126,7,10
79,0.820038186962756,0.694970106576553,65,92,56,36,9
80,0.956046633252016,0.915794386707325,60,66,56,10,4
81,0.829116561397752,0.708111955522676,74,89,64,25,10
82,0.933611403339804,0.875488922390735,103,92,85,7,18
83,0.951142083948374,0.906835968334874,138,134,129,5,9
84,0.935079864154826,0.878075108808699,96,96,80,16,16
85,0.970529928899163,0.94274710469373,58,56,52,4,6
86,0.948060573491519,0.90125015718657,57,66,51,15,6
87,0.961521803327099,0.9258950321804,105,100,94,6,11
88,0.88576584727802,0.794954853173517,38,44,36,8,2
89,0.866827051590484,0.764955652009813,111,93,78,15,33
90,0.909204879150666,0.83352488636246,66,69,59,10,7
91,0.835496234037201,0.717469757039748,63,82,48,34,15
92,0.960047474785794,0.92316471330078,103,103,93,10,10
93,0.977659134252096,0.956294683121054,45,44,42,2,3
94,0.953249676384783,0.910675310892186,53,58,42,16,11
95,0.970519240480508,0.942726934433914,71,70,66,4,5
96,0.943151710939457,0.892419205956086,80,94,71,23,9
97,0.927107711013197,0.86412002447023,72,87,63,24,9
