SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
1,0.8960029607698,0.811599061347637,153,158,129,29,24
2,0.889257520016553,0.800597380618598,179,140,117,23,62
3,0.805918149568829,0.674927057368655,228,152,131,21,97
4,0.930744404552746,0.870460167349818,86,69,65,4,21
5,0.915569535950393,0.844286071170821,58,66,48,18,10
6,0.894567937947612,0.809247323880513,135,126,101,25,34
7,0.886386561992895,0.795955339385227,84,84,73,11,11
8,0.966574976659204,0.935312146336962,56,59,52,7,4
9,0.294262382769319,0.172513275076306,33,120,28,92,5
10,0.948853996693286,0.902685253721523,92,87,75,12,17
11,0.785593701160148,0.646895278714086,48,90,47,43,1
12,0.963320779981588,0.929237088368068,57,60,51,9,6
13,0.946782596928074,0.898943175612733,101,106,93,13,8
14,0.935122853840392,0.878150927750525,183,166,160,6,23
15,0.941871597941988,0.890129776414743,123,121,111,10,12
16,0.926383582578321,0.862862720377412,73,89,69,20,4
17,0.942945246984772,0.892049578600389,140,132,128,4,12
18,0.965952419058737,0.934146974338898,47,49,41,8,6
19,0.939119596097554,0.885226640668454,137,125,116,9,21
20,0.903816387433907,0.824511858299115,127,137,113,24,14
21,0.862771957072475,0.758662224729767,36,51,34,17,2
22,0.972713216035775,0.946876014779579,68,66,61,5,7
23,0.954812861225861,0.913532922291528,119,116,112,4,7
24,0.954100209553116,0.912229085680814,26,33,25,8,1
25,0.956624288523361,0.916855048474817,70,70,65,5,5
26,0.856622870519465,0.749204132593285,77,77,55,22,22
27,0.878006093627241,0.78254087534727,39,41,36,5,3
28,0.953602713471404,0.911319941047404,52,60,45,15,7
29,0.759700012396182,0.612513117785218,47,74,43,31,4
30,0.955494349645975,0.914781408144723,85,89,81,8,4
31,0.861849271223988,0.757236497270302,119,126,90,36,29
32,0.970535853629428,0.942758285513004,68,66,61,5,7
33,0.971933966847393,0.94540032984741,54,52,48,4,6
34,0.964713458503344,0.931832318720874,54,51,46,5,8
35,0.919817093629273,0.851538279493551,135,108,97,11,38
36,0.979196531589805,0.959240991916701,39,41,35,6,4
37,0.915888621746378,0.844828898689145,130,127,100,27,30
38,0.928774112184356,0.867019853374003,173,147,136,11,37
39,0.953958975846948,0.911970901542165,104,107,99,8,5
40,0.80113661990889,0.668246802106847,72,69,49,20,23
41,0.97181768158474,0.945180309152373,52,48,47,1,5
42,0.956810345445552,0.917196927009607,44,54,41,13,3
43,0.945514262042845,0.896659127770264,125,115,112,3,13
44,0.882378234696271,0.789514182784792,95,111,81,30,14
45,0.933493648269779,0.87528184595933,158,144,138,6,20
46,0.949948335963847,0.904668187765607,108,104,95,9,13
47,0.922356726872831,0.855901716155367,133,117,110,7,23
48,0.965686930512219,0.933650515496679,74,73,68,5,6
49,0.965450003337243,0.933207681070594,66,63,61,2,5
50,0.926287973614671,0.862696841287171,124,120,107,13,17
51,0.895512852017496,0.810795176433943,171,157,130,27,41
52,0.908350491282024,0.832089864034093,59,75,56,19,3
53,0.831231276353972,0.711202532662671,151,161,105,56,46
54,0.967692711843112,0.93740761393912,45,46,41,5,4
55,0.969593999099082,0.940982484817958,55,54,51,3,4
56,0.959205046757597,0.921608087903743,108,103,96,7,12
57,0.962092834538931,0.926954612661858,74,72,63,9,11
58,0.958969720640533,0.921173706139052,126,122,119,3,7
59,0.957852784370051,0.91911466058186,60,68,58,10,2
60,0.754177747787084,0.6053654495635,29,45,25,20,4
61,0.780450325046275,0.639949598671238,56,74,48,26,8
62,0.969632252038239,0.941054544803381,59,56,52,4,7
63,0.936726806945326,0.880984128128169,117,113,94,19,23
64,0.946281063424282,0.898039344817529,94,88,78,10,16
65,0.931404098527353,0.871614889448643,119,112,99,13,20
66,0.896550923291661,0.81249868454839,28,48,21,27,7
67,0.938106177177007,0.883427473646186,66,72,60,12,6
68,0.9590571891507,0.921335138832661,76,75,67,8,9
69,0.841954812045427,0.72704832315961,112,84,70,14,42
70,0.900329358416675,0.818726375308488,20,31,19,12,1
71,0.957894645174213,0.919191750371868,57,56,51,5,6
72,0.657176608564848,0.489399136741643,20,53,19,34,1
73,0.968142774147393,0.938252647644574,79,76,75,1,4
74,0.914690799866157,0.842792818630263,89,77,75,2,14
75,0.951437882569158,0.907373885393022,64,71,59,12,5
76,0.962067163362787,0.926906953324434,68,69,60,9,8
77,0.959305610054072,0.921793774735266,89,89,82,7,7
78,0.843533034884498,0.729405214614366,126,167,109,58,17
79,0.852760508490303,0.743315162005209,47,67,43,24,4
80,0.937776098420231,0.882842211538965,154,156,142,14,12
81,0.957459919352223,0.918391472064374,79,83,75,8,4
82,0.889964775072545,0.801744624933598,62,79,57,22,5
83,0.883814449369134,0.791816780704252,113,109,88,21,25
84,0.936173082831856,0.880005071994139,37,48,36,12,1
85,0.876312884964574,0.779854884192516,193,181,143,38,50
86,0.962012024569522,0.926804594408286,60,65,55,10,5
87,0.94413973615331,0.894190044347003,168,152,145,7,23
88,0.950849589253699,0.906304357806355,67,67,59,8,8
89,0.969677716924825,0.941140197444487,52,51,50,1,2
90,0.938173179259413,0.883546319356551,26,28,24,4,2
91,0.901343795551623,0.820405684601015,172,154,138,16,34
92,0.932262703288647,0.873119920190135,103,88,80,8,23
93,0.708829936558885,0.548982629499458,77,125,61,64,16
94,0.94772555780151,0.900644850616586,61,69,58,11,3
95,0.9493518508198,0.90358684928019,102,98,92,6,10
96,0.962225065963735,0.927200141769959,56,54,50,4,6
97,0.959079720558314,0.92137672740196,49,53,43,10,6
98,0.941393269995788,0.889275727532964,135,125,118,7,17
99,0.826611289321492,0.704465009590477,22,28,20,8,2
100,0.951151629590291,0.906853322581553,98,98,85,13,13
101,0.949640908637341,0.904110714560813,120,106,101,5,19
102,0.95381771046875,0.911712729237765,74,73,62,11,12
