SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
1,0.852064394021421,0.742258006097009,67,94,62,32,5
2,0.810849951485134,0.68187353858145,63,78,47,31,16
3,0.901567820321911,0.820776955556899,50,66,45,21,5
4,0.658346562238377,0.490697928174912,47,85,42,43,5
5,0.643960913532553,0.47488374041644,24,45,22,23,2
6,0.847879462583685,0.735929475300471,32,35,25,10,7
7,0.859255400152286,0.753240822062182,20,23,17,6,3
8,0.736638059577852,0.58307760904346,51,64,41,23,10
9,0.524496165155115,0.355469198228315,48,93,36,57,12
10,0.564070210225096,0.392825759477781,24,39,20,19,4
11,0.499882354786592,0.333228768011377,15,37,10,27,5
12,0.601875680063559,0.430487955528104,53,69,38,31,15
13,0.844717647598514,0.731178526048285,84,117,75,42,9
14,0.769500007918785,0.625355556985649,59,94,51,43,8
15,0.666891483094135,0.500252961133266,37,82,34,48,3
16,0.8756270587982,0.778769238133991,39,45,31,14,8
17,0.880078760327263,0.785839869046897,93,102,71,31,22
18,0.905123230166687,0.826689592020923,99,104,83,21,16
19,0.933633347624295,0.875527517242124,93,91,76,15,17
20,0.812456313721709,0.684148569108991,97,97,68,29,29
21,0.912234460806824,0.838631513812666,84,99,76,23,8
22,0.932062285208707,0.872768394916046,96,101,80,21,16
23,0.957778394134609,0.918977680700962,82,83,74,9,8
24,0.935813711460908,0.879370201946115,97,92,82,10,15
25,0.939739910861469,0.886329609581942,98,91,75,16,23
26,0.939814045738506,0.886461513624903,86,80,73,7,13
27,0.909035849142563,0.833240806701221,111,120,97,23,14
28,0.933508124752294,0.875307300897604,154,166,140,26,14
29,0.946357355828667,0.898176778496809,136,138,125,13,11
30,0.941849848204707,0.890090925760141,95,109,90,19,5
31,0.92405797724318,0.858836217657456,83,99,79,20,4
32,0.948458488667969,0.901969611705121,133,134,124,10,9
33,0.947828118445994,0.90083011631721,94,110,93,17,1
34,0.933128027232556,0.874639179818401,100,97,89,8,11
35,0.935164435734943,0.878224269660253,101,110,91,19,10
36,0.951167716294023,0.906882569378144,94,105,91,14,3
37,0.945741339708433,0.897067650785887,82,93,80,13,2
38,0.944758783456492,0.895301253064294,115,125,105,20,10
39,0.952399009128574,0.909123814722951,80,88,77,11,3
40,0.935610099163092,0.879010688120434,90,106,88,18,2
41,0.928448849101146,0.866453130419702,117,128,109,19,8
42,0.946318567006647,0.898106901550212,100,99,91,8,9
43,0.932830693332561,0.874116869276918,88,113,80,33,8
44,0.940729989141289,0.888092723760464,139,138,126,12,13
45,0.95193305207829,0.908275042892966,123,120,115,5,8
46,0.943785326982102,0.893554455445545,138,134,128,6,10
47,0.952379498918988,0.909088260430425,91,102,86,16,5
48,0.770723335643985,0.626973046826481,74,97,62,35,12
49,0.957537951973503,0.918535071647197,89,87,79,8,10
50,0.96414299738807,0.930768431315296,83,84,78,6,5
51,0.958004135432962,0.919393414129359,81,75,68,7,13
52,0.82023630579928,0.695254744514734,55,69,51,18,4
53,0.964218417380499,0.930909019391889,81,82,74,8,7
54,0.966240982420097,0.934686871880575,88,85,84,1,4
55,0.94764835257793,0.900505410809562,93,86,76,10,17
56,0.945182086332699,0.896061845448349,79,79,67,12,12
57,0.87832708241686,0.783050984514616,50,67,45,22,5
58,0.957876684446756,0.919158673595395,83,82,72,10,11
59,0.952255203175651,0.908861782050246,71,77,65,12,6
60,0.868951607110534,0.76827093568529,68,98,62,36,6
61,0.924002348449426,0.858740116317062,68,72,63,9,5
62,0.926768736105703,0.863531251170281,82,91,77,14,5
63,0.85771032525972,0.750869367224856,94,117,79,38,15
64,0.967127689651923,0.936347774998442,84,80,73,7,11
65,0.872713233547161,0.774171452658201,95,106,77,29,18
66,0.886583675434932,0.79627328598874,85,98,73,25,12
67,0.950114030445726,0.904968785180637,92,88,75,13,17
68,0.926033074006021,0.86225474136362,103,92,84,8,19
69,0.768239310066122,0.62369201773062,102,94,75,19,27
70,0.707885187556903,0.547850067764839,86,71,56,15,30
71,0.769662005014045,0.62556956555896,91,83,65,18,26
72,0.71998546569034,0.562482258124236,97,72,57,15,40
73,0.90819296839163,0.83182553518981,133,120,101,19,32
74,0.898749319311902,0.816116925122202,128,113,85,28,43
75,0.931180223285486,0.871222860553607,138,117,103,14,35
76,0.902128400056554,0.82170665504329,135,146,108,38,27
77,0.913134753011632,0.840154522873804,136,137,106,31,30
78,0.833585476550681,0.714656290531777,183,154,119,35,64
79,0.871001198000229,0.771481064866892,213,164,140,24,73
80,0.856230860817315,0.748604619135957,98,102,65,37,33
81,0.855579653356176,0.747609613779836,175,145,96,49,79
82,0.928988173142569,0.86739301083949,119,114,94,20,25
83,0.83442416060108,0.71589006257318,133,158,103,55,30
84,0.871759117719433,0.772671094808499,131,147,107,40,24
85,0.85580300574362,0.747950755018205,167,173,119,54,48
