Fold,ValidationSamples,ScoreThreshold,InstanceIoUThreshold,MeanDice,MeanJaccard,InstancePrecision,InstanceRecall,InstanceF1,GroundTruthCount,PredictedCount,AbsCountError,PercentCountError
1,272,0.2,0.5,0.909656373589845,0.841502675614661,0.823948917820715,0.837668085823884,0.83075186555465,23723,24118,395,1.66505079458753
2,271,0.2,0.5,0.900370685608881,0.830909078496671,0.817361140134576,0.842139258493735,0.829565217391304,23223,23927,704,3.03147741463205
3,272,0.2,0.5,0.910013296661648,0.842988728069944,0.823517770917438,0.850549809917018,0.836815540228036,24463,25266,803,3.2825082778073
4,269,0.2,0.5,0.904234538027037,0.834908273640479,0.820025663313879,0.827181628392484,0.823588102018333,23950,24159,209,0.872651356993737
999,1084,0.2,0.5,0.906068723471853,0.837577188955439,0.821213373046652,0.83938469565678,0.830180181298081,95359,97470,2111,2.21292196100515
