Model,Threshold,MeanAbsCountError,MedianAbsCountError,MeanPercentError,MedianPercentError,MeanDice,MedianDice,MeanJaccard,MedianJaccard,mAP50,SmallAP,MediumAP,LargeAP
Baseline SOLOv2,0.40,8.42,7.00,11.98,9.20,0.9331,0.9449,0.8769,0.8955,0.8559,0.1032,0.7438,0.9592
Augmented SOLOv2,0.20,5.39,4.00,13.00,6.02,0.9295,0.9425,0.8718,0.8912,0.8572,0.1091,0.7329,0.9642
